"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"589","now month ","Neutral",5
"590","call backs ","Neutral",5
"591","need phone ","Neutral",5
"592","cancelled dd ","Negative",5
"593","sony xperia ","Neutral",5
"594","calls mobile ","Neutral",5
"595","media package ","Neutral",5
"596","£ credit ","Positive",5
"597","call us ","Neutral",5
"598","joke company ","Positive",5
"599","message saying ","Neutral",5
"600","dreadful customer ","Negative",5
"601","service rude ","Negative",5
"602","one worst ","Negative",5
"603","said still ","Neutral",5
"604","spent minutes ","Negative",5
"605","go store ","Neutral",5
"606","mobile call ","Neutral",5
"607","anything else ","Neutral",5
"608","sim told ","Neutral",5
"609","wasting time ","Negative",5
"610","treated like ","Positive",5
"611","international calls ","Neutral",5
"612","shocking service ","Negative",5
"613","barely speak ","Neutral",5
"614","data limit ","Negative",5
"615","place order ","Neutral",5
"616","tell story ","Neutral",5
"617","checked phone ","Neutral",5
"618","""customer service ","Neutral",5
"619","card work ","Positive",5
"620","said wanted ","Neutral",5
"621","one star ","Positive",5
"622","asked pac ","Neutral",5
"623","couple weeks ","Neutral",5
"624","phone ee ","Neutral",5
"625","mb data ","Neutral",5
"626","even using ","Neutral",5
"627","phone give ","Neutral",5
"628","hadn t ","Neutral",5
"629","weeks now ","Neutral",5
"630","port number ","Neutral",5
"631","pay extra ","Positive",5
"632","really hope ","Positive",5
"633","back phone ","Neutral",5
"634","per minute ","Neutral",5
"635","team told ","Neutral",5
"636","phone arrived ","Neutral",5
"637","sim phone ","Neutral",5
"638","back cancel ","Negative",5
"639","several days ","Neutral",5
"640","even got ","Neutral",5
"641","now pay ","Negative",5
"642","card arrived ","Neutral",5
"643","paying phone ","Neutral",5
"644","without consent ","Positive",5
"645","take new ","Positive",5
"646","transfer number ","Neutral",5
"647","internet usage ","Neutral",5
"648","year old ","Neutral",5
"649","people work ","Positive",5
"650","mobile media ","Neutral",5
"651","£ called ","Neutral",5
"652","understand saying ","Neutral",5
"653","cancelled direct ","Negative",5
"654","data plan ","Neutral",5
"655","debit set ","Neutral",5
"656","asked password ","Neutral",5
"657","never used ","Neutral",5
"658","called today ","Neutral",5
"659","live chat ","Neutral",5
"660","recommend anyone ","Positive",5
"661","take contract ","Neutral",5
"662","imei number ","Neutral",5
"663","receive email ","Neutral",5
"664","got fed ","Neutral",5
"665","half price ","Neutral",5
"666","£ bill ","Neutral",5
"667","back spoke ","Neutral",5
"668","big mistake ","Negative",5
"669","without warning ","Negative",5
"670","many hours ","Neutral",5
"671","minutes data ","Neutral",5
"672","said call ","Neutral",5
"673","one phones ","Neutral",5
"674","account said ","Neutral",5
"675","told sent ","Neutral",5
"676","great deal ","Positive",5
"677","bad experience ","Negative",5
"678","phone locked ","Neutral",5
"679","times call ","Neutral",5
"680","call called ","Neutral",5
"681","every day ","Neutral",5
"682","bad company ","Negative",5
"683","limit £ ","Negative",5
"684","data use ","Neutral",5
"685","new sims ","Positive",5
"686","far worst ","Negative",5
"687","three times ","Neutral",5
"688","times phone ","Neutral",5
"689","go elsewhere ","Neutral",5
"690","told way ","Neutral",5
"691","receive phone ","Neutral",5
"692","next time ","Neutral",5
"693","account cancelled ","Negative",5
"694","made calls ","Neutral",5
"695","saying phone ","Neutral",5
"696","later told ","Neutral",5
"697","days phone ","Neutral",5
"698","unlock phone ","Neutral",5
"699","shiny new ","Positive",5
"700","awful company ","Negative",5
"701","now take ","Neutral",5
"702","reading reviews ","Positive",5
"703","letter saying ","Neutral",5
"704","payg sim ","Neutral",5
"705","calling back ","Neutral",5
"706","phoned cancel ","Negative",5
"707","cancel account ","Negative",5
"708","reading script ","Positive",5
"709","speak anyone ","Neutral",5
"710","later day ","Neutral",5
"711","couple years ","Neutral",5
"712","different things ","Neutral",5
"713","go mobile ","Neutral",5
"714","take another ","Neutral",5
"715","now call ","Neutral",5
"716","double data ","Neutral",5
"717","somewhere else ","Neutral",5
"718","calls still ","Neutral",5
"719","also said ","Neutral",5
"720","received phone ","Positive",5
"721","first call ","Neutral",5
"722","sent wrong ","Negative",5
"723","hand set ","Neutral",5
"724","account even ","Neutral",5
"725","credit account ","Positive",5
"726","centre philippines ","Neutral",5
"727","still service ","Neutral",5
"728","refund £ ","Positive",5
"729","told credit ","Positive",5
"730","""worst customer ","Negative",5
"731","work phone ","Positive",5
"732","phone several ","Neutral",5
"733","cancelled account ","Negative",5
"734","last year ","Neutral",5
"735","pretty good ","Positive",5
"736","answer phone ","Neutral",5
"737","ever used ","Neutral",5
"738","day still ","Neutral",5
"739","phone receive ","Neutral",5
"740","contract years ","Neutral",5
"741","day told ","Neutral",5
"742","back old ","Neutral",5
"743","trying buy ","Neutral",5
"744","passed around ","Neutral",5
"745","difficult understand ","Negative",5
"746","services said ","Neutral",5
"747","another hours ","Neutral",5
"748","moved mobile ","Neutral",5
"749","unlimited text ","Positive",5
"750","passed credit ","Positive",5
"751","lady spoke ","Neutral",5
"752","people phone ","Neutral",5
"753","last time ","Neutral",5
"754","damaged phone ","Negative",5
"755","read terms ","Neutral",4
"756","use another ","Neutral",4
"757","basically told ","Neutral",4
"758","card sent ","Neutral",4
"759","upgrade mobile ","Neutral",4
"760","zero stars ","Neutral",4
"761","back week ","Neutral",4
"762","read script ","Neutral",4
"763","phone hours ","Neutral",4
"764","need sort ","Neutral",4
"765","account going ","Neutral",4
"766","£ plus ","Neutral",4
"767","service advisor ","Neutral",4
"768","new expensive ","Positive",4
"769","hang phone ","Negative",4
"770","phone already ","Neutral",4
"771","paid £ ","Neutral",4
"772","account phone ","Neutral",4
"773","call disconnected ","Negative",4
"774","advise anyone ","Positive",4
"775","damage phone ","Negative",4
"776","upgrading phone ","Neutral",4
"777","cancel airtime ","Negative",4
"778","call say ","Neutral",4
"779","th time ","Neutral",4
"780","service find ","Neutral",4
"781","tell wait ","Negative",4
"782","rang today ","Neutral",4
"783","account asked ","Neutral",4
"784","eventually got ","Neutral",4
"785","porting number ","Neutral",4
"786","phoned back ","Neutral",4
"787","trying explain ","Neutral",4
"788","put complaint ","Negative",4
"789","costumer service ","Neutral",4
"790","giff gaff ","Negative",4
"791","said refund ","Positive",4
"792","exit fee ","Negative",4
"793","several occasions ","Neutral",4
"794","moved o ","Neutral",4
"795","cancelled yet ","Negative",4
"796","iphone s ","Neutral",4
"797","buy phone ","Neutral",4
"798","one customers ","Neutral",4
"799","seem care ","Positive",4
"800","days notice ","Neutral",4
"801","waste time"", ","Negative",4
"802","t give ","Neutral",4
"803","£ every ","Neutral",4
"804","took £ ","Neutral",4
"805","deal now ","Positive",4
"806","service experience ","Neutral",4
"807","got back ","Neutral",4
"808","phone cancelled ","Negative",4
"809","conflicting information ","Negative",4
"810","well now ","Positive",4
"811","surprise surprise ","Positive",4
"812","t need ","Neutral",4
"813","time mobile ","Neutral",4
"814","trust pilot ","Positive",4
"815","bank details ","Neutral",4
"816","jiffy bag ","Neutral",4
"817","charges £ ","Neutral",4
"818","company care ","Positive",4
"819","mobile mobile ","Neutral",4
"820","today told ","Neutral",4
"821","phone new ","Positive",4
"822","lady phone ","Neutral",4
"823","time time ","Neutral",4
"824","never recommend ","Positive",4
"825","cut phone ","Negative",4
"826","strongly recommend ","Positive",4
"827","th december ","Neutral",4
"828","say sorry ","Negative",4
"829","asked send ","Neutral",4
"830","formal complaint ","Negative",4
"831","charges made ","Neutral",4
"832","still got ","Neutral",4
"833","person tried ","Neutral",4
"834","calls use ","Neutral",4
"835","good value ","Positive",4
"836","one customer ","Neutral",4
"837","order phone ","Neutral",4
"838","staff member ","Neutral",4
"839","bill mobile ","Neutral",4
"840","back tell ","Neutral",4
"841","less money ","Positive",4
"842","three weeks ","Neutral",4
"843","old one ","Neutral",4
"844","account suspended ","Negative",4
"845","another call ","Neutral",4
"846","vm years ","Neutral",4
"847","£ without ","Neutral",4
"848","unable make ","Negative",4
"849","someone phone ","Neutral",4
"850","phone registered ","Neutral",4
"851","""terrible customer ","Negative",4
"852","done time ","Neutral",4
"853","call manager ","Neutral",4
"854","months free ","Positive",4
"855","said order ","Neutral",4
"856","avoid avoid"", ","Negative",4
"857","cancelled order ","Negative",4
"858","bag return ","Neutral",4
"859","payment account ","Negative",4
"860","missed payment ","Negative",4
"861","days told ","Neutral",4
