"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"791","e mail ","Neutral",8
"792","now left ","Neutral",8
"793","end phone ","Neutral",8
"794","store staff ","Neutral",8
"795","said pay ","Negative",8
"796","almost years ","Neutral",8
"797","one hour ","Neutral",8
"798","phone next ","Neutral",8
"799","think o ","Neutral",8
"800","cant wait ","Negative",8
"801","o say ","Neutral",8
"802","better deals ","Positive",8
"803","made phone ","Neutral",8
"804","owe £ ","Neutral",8
"805","two contracts ","Neutral",8
"806","phone weeks ","Neutral",8
"807","ever use ","Neutral",8
"808","bill o ","Neutral",8
"809","insurance company ","Neutral",8
"810","unlimited calls ","Positive",8
"811","days trying ","Neutral",8
"812","pay money ","Positive",8
"813","cancel direct ","Negative",8
"814","phone companies ","Neutral",8
"815","time called ","Neutral",8
"816","
""customer service ","Neutral",8
"817","back said ","Neutral",8
"818","used data ","Neutral",8
"819","phone replaced ","Neutral",8
"820","next time ","Neutral",8
"821","store said ","Neutral",8
"822","rang told ","Neutral",8
"823","o offer ","Positive",8
"824","many calls ","Neutral",8
"825","told item ","Neutral",8
"826","days phone ","Neutral",8
"827","g area ","Neutral",8
"828","great service ","Positive",8
"829","o given ","Neutral",8
"830","change provider ","Neutral",8
"831","g network ","Neutral",8
"832","explained situation ","Neutral",8
"833","couple years ","Neutral",8
"834","one day ","Neutral",8
"835","£ monthly ","Neutral",8
"836","good signal ","Positive",8
"837","spoke someone ","Neutral",8
"838","oneplus t ","Neutral",8
"839","want keep ","Neutral",8
"840","find phone ","Neutral",8
"841","called liar ","Negative",8
"842","got pac ","Neutral",8
"843","last night ","Neutral",8
"844","o asked ","Neutral",8
"845","iphone plus ","Neutral",8
"846","months phone ","Neutral",8
"847","back say ","Neutral",8
"848","call centres ","Neutral",8
"849","problem o ","Negative",8
"850","move another ","Neutral",8
"851","chat o ","Neutral",8
"852","mobile broadband ","Neutral",8
"853","item stock ","Neutral",8
"854","paying contract ","Neutral",8
"855","received bill ","Positive",8
"856","last bill ","Neutral",8
"857","existing customer ","Neutral",8
"858","asked o ","Neutral",8
"859","phone used ","Neutral",8
"860","due upgrade ","Neutral",8
"861","o"", ""o ","Neutral",8
"862","services said ","Neutral",8
"863","iphone x ","Neutral",8
"864","months bill ","Neutral",8
"865","signal home ","Neutral",8
"866","iphone o ","Neutral",8
"867","o also ","Neutral",8
"868","amount money ","Positive",8
"869","calls never ","Neutral",7
"870","told never ","Neutral",7
"871","o saying ","Neutral",7
"872","one got ","Neutral",7
"873","zero stars ","Neutral",7
"874","means nothing ","Neutral",7
"875","trying resolve ","Positive",7
"876","never arrived ","Neutral",7
"877","mobile networks ","Neutral",7
"878","told £ ","Neutral",7
"879","£ plus ","Neutral",7
"880","years last ","Neutral",7
"881","service recommend ","Positive",7
"882","never use"", ","Neutral",7
"883","another sim ","Neutral",7
"884","time got ","Neutral",7
"885","now £ ","Neutral",7
"886","never call ","Neutral",7
"887","wanted £ ","Neutral",7
"888","want £ ","Neutral",7
"889","th january ","Neutral",7
"890","take £ ","Neutral",7
"891","loyal o ","Positive",7
"892","letter debt ","Negative",7
"893","o actually ","Neutral",7
"894","resolve issues ","Positive",7
"895","correct amount ","Positive",7
"896","buy phone ","Neutral",7
"897","phone signal ","Neutral",7
"898","take o ","Neutral",7
"899","£ taken ","Neutral",7
"900","days notice ","Neutral",7
"901","got back ","Neutral",7
"902","hours time ","Neutral",7
"903","signal problems ","Negative",7
"904","conflicting information ","Negative",7
"905","surprise surprise ","Positive",7
"906","trust pilot ","Positive",7
"907","service told ","Neutral",7
"908","now think ","Neutral",7
"909","pay additional ","Positive",7
"910","three days ","Neutral",7
"911","via o ","Neutral",7
"912","review service ","Neutral",7
"913","excellent customer ","Positive",7
"914","days days ","Neutral",7
"915","say sorry ","Negative",7
"916","contacted via ","Neutral",7
"917","contacted told ","Neutral",7
"918","good value ","Positive",7
"919","one customer ","Neutral",7
"920","offer £ ","Positive",7
"921","guy said ","Neutral",7
"922","old one ","Neutral",7
"923","never issues ","Neutral",7
"924","send phone ","Neutral",7
"925","spoke manager ","Neutral",7
"926","current phone ","Neutral",7
