"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"65488","nothing company"", ","Neutral",1
"65489","
""company imperfectional ","Neutral",1
"65490","big lumbering ","Neutral",1
"65491","quid saved ","Positive",1
"65492","someone anything ","Neutral",1
"65493","activate sim ","Neutral",1
"65494","level yearsunfortunately ","Positive",1
"65495","notice meant ","Neutral",1
"65496","retain efforts ","Neutral",1
"65497","got end ","Neutral",1
"65498","o continue ","Positive",1
"65499","even complaints ","Negative",1
"65500","connected networks ","Neutral",1
"65501","receiving delivery ","Positive",1
"65502","available ever ","Positive",1
"65503","collect walk ","Neutral",1
"65504","check take ","Neutral",1
"65505","looks pretty ","Positive",1
"65506","hassle gave ","Negative",1
"65507","encountered"", 
""o ","Neutral",1
"65508","try"", ""beware ","Negative",1
"65509","part original ","Neutral",1
"65510","month missed ","Negative",1
"65511","bankholiday monday ","Neutral",1
"65512","problems though ","Negative",1
"65513","reminder stupid ","Negative",1
"65514","confusing insanely ","Negative",1
"65515","samsung device ","Neutral",1
"65516","disconnected every ","Negative",1
"65517","""absolutely horrific ","Negative",1
"65518","everyone mean ","Neutral",1
"65519","£ face ","Neutral",1
"65520","go hounds ","Neutral",1
"65521","one occasions ","Neutral",1
"65522","deal mobile ","Positive",1
"65523","customer thankfully ","Neutral",1
"65524","product going ","Neutral",1
"65525","finding vodafones ","Neutral",1
"65526","started fact ","Neutral",1
"65527","networks see ","Neutral",1
"65528","sending phone ","Neutral",1
"65529","hell goes ","Negative",1
"65530","language o ","Neutral",1
"65531","contract woman ","Neutral",1
"65532","manager sudden ","Neutral",1
"65533","ideas research ","Neutral",1
"65534","payment sends ","Negative",1
"65535","answering direct ","Neutral",1
"65536","muney makers ","Neutral",1
"65537","fuking ripping ","Neutral",1
"65538","line waited ","Neutral",1
"65539","keeps charging ","Neutral",1
"65540","got broken ","Negative",1
"65541","issue complained ","Negative",1
"65542","speeds west ","Neutral",1
"65543","face karma ","Neutral",1
"65544","credit trying ","Positive",1
"65545","subject unauthorised ","Neutral",1
"65546","either meeting ","Neutral",1
"65547","tax cost ","Negative",1
"65548","arrive occasions ","Neutral",1
"65549","life forever ","Neutral",1
"65550","shame used ","Negative",1
"65551","jumping hoops ","Neutral",1
"65552","went told ","Neutral",1
"65553","sim although ","Neutral",1
"65554","customers happy ","Positive",1
"65555","bad dreams"", ","Negative",1
"65556","said lost"", ","Negative",1
"65557","sent texts ","Neutral",1
"65558","stockton tees ","Neutral",1
"65559","address question ","Neutral",1
"65560","management"", ""ordered ","Positive",1
"65561","find rapid ","Neutral",1
"65562","go seems ","Neutral",1
"65563","made lot ","Neutral",1
"65564","palmed insist ","Negative",1
"65565","recommend mobile ","Positive",1
"65566","anything demand ","Negative",1
"65567","company subsidiary ","Neutral",1
"65568","now pesty ","Neutral",1
"65569","me drove ","Neutral",1
"65570","away"", ""hispanic ","Neutral",1
"65571","incoming texts ","Neutral",1
"65572","enquiry relate ","Neutral",1
"65573","
""company contacted ","Neutral",1
"65574","arrange apply ","Neutral",1
"65575","dispatched however ","Neutral",1
"65576","backs acknowledge ","Neutral",1
"65577","diagnostics gave ","Neutral",1
"65578","hang childish ","Negative",1
"65579","lose network ","Negative",1
"65580","worry take ","Negative",1
"65581","numbers gb ","Neutral",1
"65582","unhelpful stubborn ","Negative",1
"65583","pictures camera ","Neutral",1
"65584","december sony ","Neutral",1
"65585","waiting three ","Neutral",1
"65586","service visited ","Neutral",1
"65587","minutes automated ","Neutral",1
"65588","papers left ","Neutral",1
"65589","customer thus ","Neutral",1
"65590","copy investigation ","Neutral",1
"65591","price way ","Neutral",1
"65592","like raise ","Positive",1
"65593","advise give ","Positive",1
"65594","log knew ","Neutral",1
"65595","weeks rang ","Neutral",1
"65596","providers forthcoming ","Positive",1
"65597","cheapest provider ","Neutral",1
"65598","personal attack ","Negative",1
"65599","finger asked ","Neutral",1
"65600","trying listening ","Neutral",1
"65601","charges believes ","Neutral",1
"65602","friend live ","Positive",1
"65603","office seems ","Neutral",1
"65604","desk time ","Neutral",1
"65605","im waiting ","Neutral",1
"65606","service charged ","Neutral",1
"65607","four five ","Neutral",1
"65608","spoke absolutely ","Neutral",1
"65609","law customers ","Neutral",1
"65610","find line ","Neutral",1
"65611","mentioned answer ","Neutral",1
"65612","waiting upgrade ","Neutral",1
"65613","centre wanted ","Neutral",1
"65614","edge service ","Neutral",1
"65615","system made ","Neutral",1
"65616","process charge ","Neutral",1
"65617","spam got ","Neutral",1
"65618","broadband end ","Neutral",1
"65619","company actually ","Neutral",1
"65620","ashamed embarrassed ","Negative",1
"65621","incurred whilst ","Neutral",1
"65622","mid told ","Neutral",1
"65623","due like ","Positive",1
"65624","else wrong ","Negative",1
"65625","friday may ","Neutral",1
"65626","paying ending ","Neutral",1
"65627","upgrade didn ","Neutral",1
"65628","kate yesterday ","Neutral",1
"65629","use insulting ","Negative",1
"65630","""set contract ","Neutral",1
"65631","probably let ","Neutral",1
"65632","sales pitch ","Neutral",1
"65633","away friday ","Neutral",1
"65634","request call ","Neutral",1
"65635","appologize assured ","Positive",1
"65636","licence however ","Neutral",1
"65637","upgrading upgrade ","Neutral",1
"65638","meet targets ","Negative",1
"65639","second quote ","Neutral",1
"65640","think plus ","Neutral",1
"65641","anywhere indoors ","Neutral",1
"65642","perfect credit ","Positive",1
"65643","s error ","Negative",1
"65644","pay always ","Negative",1
"65645","across called ","Neutral",1
"65646","unusable weeks ","Negative",1
"65647","upgrade want ","Neutral",1
"65648","waiting rang ","Neutral",1
"65649","barred reporting ","Negative",1
"65650","notice bad ","Negative",1
"65651","red told ","Neutral",1
"65652","sick companys ","Negative",1
"65653","ratingother two ","Neutral",1
"65654","patient gone ","Positive",1
"65655","tube company ","Neutral",1
"65656","service advice ","Neutral",1
"65657","female chipped ","Positive",1
"65658","o verify ","Positive",1
"65659","screen listening ","Neutral",1
"65660","monotone came ","Negative",1
"65661","knew already ","Neutral",1
"65662","debt another ","Negative",1
"65663","notification ending ","Neutral",1
"65664","complaint deals ","Negative",1
"65665","await response ","Negative",1
"65666","devices smartphones ","Neutral",1
"65667","code customer ","Neutral",1
"65668","fob appalling ","Negative",1
"65669","contract complete ","Neutral",1
"65670","misses rang ","Neutral",1
"65671","""whilst signal ","Neutral",1
"65672","complaint received ","Negative",1
"65673","tense single ","Negative",1
"65674","direct bills ","Neutral",1
"65675","snipers via ","Neutral",1
"65676","contacting ofcom ","Neutral",1
"65677","generic customer ","Neutral",1
"65678","firstly start ","Neutral",1
"65679","advised now ","Neutral",1
"65680","due joint ","Neutral",1
"65681","couldnt walk ","Neutral",1
"65682","privilege o ","Positive",1
"65683","shoddy really ","Negative",1
"65684","goodbye something ","Neutral",1
"65685","mail monies ","Neutral",1
"65686","phone separate ","Neutral",1
"65687","calls broken ","Negative",1
"65688","week places ","Neutral",1
"65689","never stepped ","Neutral",1
"65690","vr st ","Neutral",1
"65691","customer wanted ","Neutral",1
"65692","changes next ","Neutral",1
"65693","misleadingshame trustpilot ","Neutral",1
"65694","dispute owed ","Negative",1
"65695","rough guide ","Positive",1
"65696","reassuring account ","Positive",1
"65697","makes life ","Neutral",1
"65698","put lowest ","Negative",1
"65699","pretend coverage"", ","Negative",1
"65700","initially £ ","Neutral",1
"65701","website google ","Neutral",1
"65702","increase monthly ","Positive",1
"65703","believe o ","Neutral",1
"65704","guarantee must ","Positive",1
"65705","place shawn ","Neutral",1
"65706","means new ","Positive",1
"65707","many areas ","Neutral",1
"65708","calls provide ","Positive",1
"65709","continually bounces ","Neutral",1
"65710","yet rude ","Negative",1
"65711","wantednever ever ","Neutral",1
"65712","nope o ","Neutral",1
"65713","expect passed ","Positive",1
"65714","didnt really ","Neutral",1
"65715","helpful highly ","Positive",1
"65716","internet throughout ","Neutral",1
"65717","termination contract ","Negative",1
"65718","received saying ","Positive",1
"65719","death absolutely ","Negative",1
"65720","awnser finally ","Positive",1
"65721","prove staff ","Positive",1
"65722","basis remove ","Negative",1
"65723","good polite ","Positive",1
"65724","minutes hassle ","Negative",1
"65725","thank david ","Positive",1
"65726","store ask ","Neutral",1
"65727","phone"", ""daily ","Neutral",1
"65728","jumped lots ","Neutral",1
"65729","oh mr ","Neutral",1
"65730","extremely upset ","Negative",1
"65731","uptime prices ","Neutral",1
"65732","repair check ","Neutral",1
"65733","lied agreed ","Neutral",1
"65734","english need ","Neutral",1
"65735","use chat ","Neutral",1
"65736","reception time ","Neutral",1
"65737","business th ","Neutral",1
"65738","debits yes ","Positive",1
"65739","people employ ","Neutral",1
"65740","resolution instead ","Neutral",1
"65741","grinds absolute ","Negative",1
"65742","information stored ","Positive",1
"65743","unavailable o ","Negative",1
"65744","quite brand ","Neutral",1
"65745","due number ","Neutral",1
"65746","go beside ","Neutral",1
"65747","options within ","Neutral",1
"65748","check phone ","Neutral",1
"65749","constant bad ","Negative",1
"65750","still stand ","Neutral",1
"65751","month disconnected ","Negative",1
"65752","asked advisor ","Neutral",1
"65753","
""sales aggressive ","Negative",1
"65754","done make ","Neutral",1
"65755","followed helpful ","Positive",1
"65756","something still ","Neutral",1
"65757","system pay ","Negative",1
"65758","data suddenly ","Neutral",1
"65759","use half ","Neutral",1
"65760","include links ","Positive",1
"65761","people increased ","Positive",1
"65762","hopefully works ","Positive",1
"65763","sky now ","Neutral",1
"65764","mistake taking ","Negative",1
"65765","giff gaffs ","Neutral",1
"65766","department call ","Neutral",1
"65767","hung redialled ","Neutral",1
"65768","nice day ","Positive",1
"65769","working word ","Positive",1
"65770","apart walked ","Neutral",1
"65771","o may ","Neutral",1
"65772","go insurance ","Neutral",1
"65773","avoiding kept ","Neutral",1
"65774","hours day ","Neutral",1
"65775","told motherlaw ","Neutral",1
"65776","way spoke ","Neutral",1
"65777","hill customer ","Neutral",1
"65778","voicemails appear ","Neutral",1
"65779","slightly cheaper ","Neutral",1
"65780","mail website ","Neutral",1
"65781","stock promised ","Positive",1
"65782","years fraudsters ","Negative",1
"65783","deal else ","Positive",1
"65784","bombard calls ","Negative",1
"65785","thought gonna ","Neutral",1
"65786","shenanigan another ","Neutral",1
"65787","big issue ","Positive",1
"65788","various mifi ","Neutral",1
"65789","also slough ","Neutral",1
"65790","advice"", 
""today ","Neutral",1
"65791","dicline time ","Neutral",1
"65792","offered goodwill ","Positive",1
"65793","one address ","Neutral",1
"65794","getting products ","Neutral",1
"65795","days posting ","Neutral",1
"65796","time hardly ","Neutral",1
"65797","responded words ","Neutral",1
"65798","originally wanted ","Neutral",1
"65799","refund went ","Positive",1
"65800","went travels ","Neutral",1
"65801","elsewhere"", 
""signal ","Neutral",1
"65802","say left ","Neutral",1
"65803","year insurance ","Neutral",1
"65804","o delivery ","Positive",1
"65805","regards customer ","Neutral",1
"65806","day th ","Neutral",1
"65807","
""purchased oneplus ","Neutral",1
"65808","longstanding customer ","Neutral",1
"65809","m yet ","Neutral",1
"65810","mrs stephen ","Neutral",1
"65811","clowns holding ","Neutral",1
"65812","customers also ","Neutral",1
"65813","sign wife ","Neutral",1
"65814","even minor ","Neutral",1
"65815","parliament site ","Neutral",1
"65816","colleges sure ","Neutral",1
"65817","anyone"", ""love ","Positive",1
"65818","however girl ","Neutral",1
"65819","gave moved ","Neutral",1
"65820","account answer ","Neutral",1
"65821","hr half ","Neutral",1
"65822","cheapest phonesconstant ","Neutral",1
"65823","mobiles weeks ","Neutral",1
"65824","without termination ","Negative",1
"65825","quoted website ","Neutral",1
"65826","theft nothing ","Negative",1
"65827","copy managed ","Neutral",1
"65828","december time ","Neutral",1
"65829","needed info ","Neutral",1
"65830","hopefully prevent ","Positive",1
"65831","promise attitude ","Positive",1
"65832","current month ","Neutral",1
"65833","full time ","Neutral",1
"65834","waiting resolution ","Neutral",1
"65835","looking however ","Neutral",1
"65836","nobody knew ","Neutral",1
"65837","want least ","Neutral",1
"65838","thing take ","Neutral",1
"65839","since joining ","Neutral",1
"65840","reception another ","Neutral",1
"65841","nobody o ","Neutral",1
"65842","purchase told ","Positive",1
"65843","fact staying ","Neutral",1
"65844","contact nearly ","Positive",1
"65845","later thought ","Neutral",1
"65846","least amount ","Neutral",1
"65847","lengths update ","Neutral",1
"65848","even transfer ","Neutral",1
"65849","credit well ","Positive",1
"65850","priced"", 
""o ","Neutral",1
"65851","store experienced ","Positive",1
"65852","find manager ","Neutral",1
"65853","products good ","Positive",1
"65854","helpful assistance ","Positive",1
"65855","amount unhappy ","Negative",1
"65856","cynically trying ","Neutral",1
"65857","never agree ","Positive",1
"65858","wait phone ","Negative",1
"65859","issue number ","Neutral",1
"65860","tanked credit ","Negative",1
"65861","min ect ","Neutral",1
"65862","sent order ","Neutral",1
"65863","pac instead ","Neutral",1
"65864","correct charger ","Positive",1
"65865","help courtesy ","Positive",1
"65866","unless called ","Neutral",1
"65867","fairly large ","Positive",1
"65868","got replacement ","Neutral",1
"65869","tell received ","Positive",1
"65870","linksguess sent ","Neutral",1
"65871","keep cancelling ","Negative",1
"65872","without doubt"", ","Negative",1
"65873","avoid mobile ","Negative",1
"65874","procedures renew ","Neutral",1
"65875","maybe go ","Neutral",1
"65876","call complete ","Neutral",1
"65877","technology small ","Positive",1
"65878","free laughableoh ","Positive",1
"65879","customer likes ","Positive",1
"65880","repeated questions ","Neutral",1
"65881","absolute crooks ","Negative",1
"65882","information changed ","Positive",1
"65883","top bill ","Neutral",1
"65884","worry neither ","Negative",1
"65885","minded service ","Neutral",1
"65886","problem apologised ","Negative",1
"65887","sending us ","Neutral",1
"65888","look phone"", ","Neutral",1
"65889","exactly loyal ","Positive",1
"65890","deal efforts ","Positive",1
"65891","post case ","Neutral",1
"65892","years three ","Neutral",1
"65893","reply far ","Neutral",1
"65894","payg paid ","Neutral",1
"65895","completely sent ","Positive",1
"65896","anymore even ","Neutral",1
"65897","retentions despite ","Neutral",1
"65898","knows temps ","Neutral",1
"65899","belong put ","Neutral",1
"65900","note calendar ","Neutral",1
"65901","long month ","Neutral",1
"65902","number nobody ","Neutral",1
"65903","price"", 
""taken ","Neutral",1
"65904","customers people ","Neutral",1
"65905","though chats ","Neutral",1
"65906","excuse totally ","Negative",1
"65907","provide"", ""took ","Positive",1
"65908","evn though ","Neutral",1
"65909","angers shoe ","Negative",1
"65910","aware debt ","Negative",1
"65911","issue offence ","Negative",1
"65912","""bad attitudes ","Negative",1
"65913","plan changed ","Neutral",1
"65914","though things ","Neutral",1
"65915","ended contracts ","Neutral",1
"65916","everything detail ","Neutral",1
"65917","keep send ","Neutral",1
"65918","""good network ","Positive",1
"65919","honour incorrect ","Negative",1
"65920","bit pricey ","Negative",1
"65921","""went shop ","Neutral",1
"65922","take higher ","Neutral",1
"65923","weekend left ","Neutral",1
"65924","blocked sitewill ","Negative",1
"65925","mark knowledgeable ","Positive",1
"65926","o twitter ","Neutral",1
"65927","bonus resolved ","Positive",1
"65928","minute unsatisfactory ","Negative",1
"65929","bit date ","Neutral",1
"65930","reviews years ","Neutral",1
"65931","wait ofr ","Negative",1
"65932","system around ","Neutral",1
"65933","makers care ","Positive",1
"65934","services ever ","Neutral",1
"65935","receive rarely ","Neutral",1
"65936","contracts away"", ","Neutral",1
"65937","point companys ","Neutral",1
"65938","found charged ","Positive",1
"65939","information make ","Positive",1
"65940","another hrs ","Neutral",1
"65941","account forgotten ","Negative",1
"65942","obscene ashamed ","Negative",1
"65943","t"", ""harassed ","Negative",1
"65944","runnow closing ","Neutral",1
"65945","really like ","Positive",1
"65946","apps gadgets ","Neutral",1
"65947","transferred money ","Positive",1
"65948","g happy ","Positive",1
"65949","escuse"", ""failed ","Negative",1
"65950","store left ","Neutral",1
"65951","questioned said ","Neutral",1
"65952","engineer weeks ","Neutral",1
"65953","confirmed o ","Positive",1
"65954","seems normal ","Neutral",1
"65955","referring contract ","Neutral",1
"65956","caseo company ","Neutral",1
"65957","miss"", ""o ","Neutral",1
"65958","better servicecalled ","Positive",1
"65959","reconnection chargeos ","Neutral",1
"65960","shouted asking ","Neutral",1
"65961","vodafone know ","Neutral",1
"65962","staff second ","Neutral",1
"65963","security systems ","Neutral",1
"65964","explanation told ","Neutral",1
"65965","price better ","Positive",1
"65966","phones warranty ","Positive",1
"65967","four calls ","Neutral",1
"65968","make use ","Neutral",1
"65969","bag post ","Neutral",1
"65970","today run ","Neutral",1
"65971","promises back ","Positive",1
"65972","told broken ","Negative",1
"65973","taking double ","Neutral",1
"65974","misleading shambolicevery ","Negative",1
"65975","normally paying ","Neutral",1
"65976","text immediately ","Neutral",1
"65977","ballpark like ","Positive",1
"65978","sorted customer ","Neutral",1
"65979","story avoid ","Negative",1
"65980","calls passed ","Neutral",1
"65981","""unhelpful phone ","Negative",1
"65982","products etc ","Neutral",1
"65983","ridiculous even ","Negative",1
"65984","vodafone uks ","Neutral",1
"65985","later took ","Neutral",1
"65986","affecting credit ","Positive",1
"65987","need rethink ","Neutral",1
"65988","confirmation return ","Neutral",1
"65989","messages god ","Neutral",1
"65990","leave unable ","Negative",1
"65991","£ loss ","Negative",1
"65992","madness writing ","Negative",1
"65993","charges fools ","Negative",1
"65994","weeks paid ","Neutral",1
"65995","everytime says ","Neutral",1
"65996","services incompetent ","Negative",1
"65997","redicilous bill ","Neutral",1
"65998","pain interacting ","Negative",1
"65999","signal postcode ","Neutral",1
"66000","days reversed ","Neutral",1
"66001","others love ","Positive",1
"66002","using ever ","Neutral",1
"66003","later think ","Neutral",1
"66004","think limited ","Negative",1
"66005","access arena ","Neutral",1
"66006","try much ","Neutral",1
"66007","""extremely rude ","Negative",1
"66008","put ip ","Neutral",1
"66009","order switch ","Neutral",1
"66010","various checks ","Neutral",1
"66011","laugh phone ","Positive",1
"66012","needs transfer ","Neutral",1
"66013","coverage spot ","Neutral",1
"66014","day m ","Neutral",1
"66015","put man ","Neutral",1
"66016","zero rating ","Neutral",1
"66017","even dearest ","Neutral",1
"66018","week took ","Neutral",1
"66019","o advisors ","Neutral",1
"66020","question later ","Neutral",1
"66021","people stores ","Neutral",1
"66022","telephone incompetent ","Negative",1
"66023","""end contract ","Neutral",1
"66024","reassured followed ","Positive",1
"66025","bolt joke ","Positive",1
"66026","headphones called ","Neutral",1
"66027","checks per ","Neutral",1
"66028","lifted however ","Neutral",1
"66029","different customers ","Neutral",1
"66030","busy schedule ","Neutral",1
"66031","check da ","Neutral",1
"66032","see minutes ","Neutral",1
"66033","caring company ","Neutral",1
"66034","customer text ","Neutral",1
"66035","told tough ","Positive",1
"66036","three conversations ","Neutral",1
"66037","telephone robot ","Neutral",1
"66038","handset store ","Neutral",1
"66039","now fate ","Negative",1
"66040","o pounds ","Neutral",1
"66041","repeatedly near ","Neutral",1
"66042","upgrade downgrade ","Negative",1
"66043","desperate new ","Positive",1
"66044","finally taking ","Positive",1
"66045","myo work ","Positive",1
"66046","fault however ","Negative",1
"66047","finished leaving ","Neutral",1
"66048","receipt sent ","Neutral",1
"66049","available £ ","Positive",1
"66050","away company"", ","Neutral",1
"66051","service proactive ","Positive",1
"66052","screen reveal ","Neutral",1
"66053","history totally ","Neutral",1
"66054","regards order ","Neutral",1
"66055","numbers hell ","Negative",1
"66056","issues quick ","Neutral",1
"66057","ll go ","Neutral",1
"66058","j th ","Neutral",1
"66059","hrs ending ","Neutral",1
"66060","returning o"", ","Neutral",1
"66061","bowed struggles ","Negative",1
"66062","going ombudsman ","Neutral",1
"66063","many rude ","Negative",1
"66064","phone whole ","Neutral",1
"66065","experience"", 
""owe ","Neutral",1
"66066","asked early ","Neutral",1
"66067","credit moving ","Positive",1
"66068","o possibly ","Neutral",1
"66069","prepared wait ","Positive",1
"66070","shop month ","Neutral",1
"66071","energy time ","Neutral",1
"66072","dud items ","Negative",1
"66073","paying thier ","Neutral",1
"66074","switching pay ","Negative",1
"66075","watsapp ludicrous ","Negative",1
"66076","name appalling ","Negative",1
"66077","answer someone ","Neutral",1
"66078","less profits ","Neutral",1
"66079","thirty minutes ","Neutral",1
"66080","refund replacement ","Positive",1
"66081","wish wife"", ","Positive",1
"66082","giving till ","Positive",1
"66083","completed next ","Neutral",1
"66084","experience feel ","Neutral",1
"66085","avoid morons ","Negative",1
"66086","gonna cost ","Neutral",1
"66087","bank placed ","Neutral",1
"66088","contract go"", ","Neutral",1
"66089","ending phone ","Neutral",1
"66090","representative spoke ","Neutral",1
"66091","whole complaints ","Negative",1
"66092","incidentally going ","Neutral",1
"66093","require us ","Neutral",1
"66094","southport needs ","Neutral",1
"66095","discussing debt ","Negative",1
"66096","attend customers ","Neutral",1
"66097","realised becks ","Neutral",1
"66098","shop salesman ","Neutral",1
"66099","old knowledge ","Positive",1
"66100","compete tedious ","Negative",1
"66101","busy email ","Neutral",1
"66102","message summerise ","Neutral",1
"66103","sitting next ","Neutral",1
"66104","effective"", 
""friendliness ","Positive",1
"66105","someone instant ","Neutral",1
"66106","company february"", ","Neutral",1
"66107","lines indeed ","Neutral",1
"66108","relative much ","Neutral",1
"66109","failed provide ","Positive",1
"66110","processed order ","Neutral",1
"66111","apart getting ","Neutral",1
"66112","random extras ","Neutral",1
"66113","one twice ","Neutral",1
"66114","charge system ","Neutral",1
"66115","give minus"", ","Neutral",1
"66116","tell didn ","Neutral",1
"66117","follow call ","Neutral",1
"66118","whole things ","Neutral",1
"66119","responded responded ","Neutral",1
"66120","remove amount ","Negative",1
"66121","contacted us ","Neutral",1
"66122","give customers"", ","Neutral",1
"66123","saying due ","Neutral",1
"66124","without unable ","Negative",1
"66125","keeping making ","Neutral",1
"66126","perfect say ","Positive",1
"66127","everything customer ","Neutral",1
"66128","order disgraceful ","Negative",1
"66129","cancellation address ","Neutral",1
"66130","webchat customer ","Neutral",1
"66131","said tone ","Neutral",1
"66132","everyone may ","Neutral",1
"66133","login go ","Neutral",1
"66134","word use ","Neutral",1
"66135","upon declining ","Negative",1
"66136","crushed therefore ","Negative",1
"66137","chose leave ","Negative",1
"66138","""appalling absolutely ","Negative",1
"66139","confuse see ","Negative",1
"66140","reoccurring payment ","Negative",1
"66141","cut paid ","Negative",1
"66142","service"", ""hold ","Neutral",1
"66143","care leave ","Positive",1
"66144","described reviews ","Neutral",1
"66145","happened asked ","Neutral",1
"66146","ups months ","Neutral",1
"66147","delightful whole ","Positive",1
"66148","""asked take ","Neutral",1
"66149","companies days ","Neutral",1
"66150","contract using ","Neutral",1
"66151","contract"", 
""countless ","Neutral",1
"66152","payments cheapest ","Neutral",1
"66153","customers depsite ","Neutral",1
"66154","occurred always ","Neutral",1
"66155","phone angry ","Negative",1
"66156","money"", 
""shocking ","Negative",1
"66157","cancellation record ","Neutral",1
"66158","even worsetook ","Neutral",1
"66159","wasted lot ","Negative",1
"66160","ago enough ","Negative",1
"66161","minute although ","Neutral",1
"66162","credit materialise ","Positive",1
"66163","annoying lecture ","Negative",1
"66164","ben came ","Neutral",1
"66165","since handset ","Neutral",1
"66166","appalling favour ","Negative",1
"66167","little britain ","Neutral",1
"66168","around £month ","Neutral",1
"66169","terrible id ","Negative",1
"66170","permanent fix ","Negative",1
"66171","even play ","Neutral",1
"66172","person received ","Positive",1
"66173","payments denied ","Negative",1
"66174","g became ","Neutral",1
"66175","start persuading ","Neutral",1
"66176","reduce costs ","Neutral",1
"66177","cant anythingsend ","Neutral",1
"66178","said ips ","Neutral",1
"66179","must faults ","Negative",1
"66180","matter continue ","Positive",1
"66181","though replacement ","Neutral",1
"66182","unable taken ","Negative",1
"66183","now option ","Positive",1
"66184","now lowered ","Neutral",1
"66185","giffgaff give ","Neutral",1
"66186","question answered ","Neutral",1
"66187","year see ","Neutral",1
"66188","day ipad ","Neutral",1
"66189","trying unsuccessfully ","Negative",1
"66190","came nowhere ","Neutral",1
"66191","unhelpful pass ","Negative",1
"66192","crp leaving ","Neutral",1
"66193","bit kinder ","Positive",1
"66194","agreed taking ","Positive",1
"66195","phone repeated ","Neutral",1
"66196","stick mobile ","Neutral",1
"66197","time depart"", ","Neutral",1
"66198","guru pass ","Positive",1
"66199","greedy scumbags ","Negative",1
"66200","costumer"", ""absolutely ","Neutral",1
"66201","earlier month ","Neutral",1
"66202","hours extremely ","Neutral",1
"66203","solid uncertain ","Negative",1
"66204","pray understand ","Positive",1
"66205","unbelievable levels ","Negative",1
"66206","ended bearing ","Neutral",1
"66207","modern day ","Positive",1
"66208","ever got ","Neutral",1
"66209","road store ","Neutral",1
"66210","months fortunately ","Positive",1
"66211","reason warn ","Negative",1
"66212","call terrible ","Negative",1
"66213","want upgrade ","Neutral",1
"66214","iphones looking ","Neutral",1
"66215","£ premise ","Positive",1
"66216","credit lower ","Positive",1
"66217","phoned next ","Neutral",1
"66218","though using ","Neutral",1
"66219","lost custom ","Negative",1
"66220","arrive told ","Neutral",1
"66221","year decided ","Neutral",1
"66222","potentially wasted ","Negative",1
"66223","change even ","Neutral",1
"66224","today put ","Neutral",1
"66225","refused tiny ","Negative",1
"66226","knows re ","Neutral",1
"66227","signed service ","Neutral",1
"66228","sale"", 
""days ","Neutral",1
"66229","situation however ","Neutral",1
"66230","shots conversation ","Neutral",1
"66231","day hearing ","Neutral",1
"66232","debit kept ","Neutral",1
"66233","gave call ","Neutral",1
"66234","check vodpfone ","Neutral",1
"66235","contact information ","Positive",1
"66236","blacklist last ","Neutral",1
"66237","unresolved left ","Negative",1
"66238","rude walking ","Negative",1
"66239","customers stayed ","Neutral",1
"66240","
""seem treat ","Neutral",1
"66241","swears totally ","Negative",1
"66242","retrieve photos ","Neutral",1
"66243","pending halifax ","Neutral",1
"66244","tariffs instance ","Neutral",1
"66245","sad treat ","Negative",1
"66246","also ridiculously ","Negative",1
"66247","failure phone ","Negative",1
"66248","account explained ","Neutral",1
"66249","setting device ","Neutral",1
"66250","product never ","Neutral",1
"66251","much later ","Neutral",1
"66252","sorted keep ","Neutral",1
"66253","care"", 
""issue ","Positive",1
"66254","take mine ","Neutral",1
"66255","cost"", 
""insipte ","Neutral",1
"66256","know german ","Neutral",1
"66257","form filling ","Neutral",1
"66258","check position ","Neutral",1
"66259","cap daughters ","Neutral",1
"66260","tugo everyday ","Neutral",1
"66261","without fuss ","Negative",1
"66262","information need ","Positive",1
"66263","feeling nobody ","Positive",1
"66264","really relax ","Neutral",1
"66265","basically useless ","Negative",1
"66266","matter strong ","Positive",1
"66267","waste another ","Negative",1
"66268","chief charging ","Neutral",1
"66269","us moved ","Neutral",1
"66270","service feel ","Neutral",1
"66271","charge"", 
""bullet ","Neutral",1
"66272","calls stores ","Neutral",1
"66273","need recognition ","Neutral",1
"66274","perhapspersonally nothing ","Neutral",1
"66275","£ make ","Neutral",1
"66276","hour talking ","Neutral",1
"66277","phone friend ","Positive",1
"66278","wife password ","Neutral",1
"66279","franchise based ","Neutral",1
"66280","engineer look ","Neutral",1
"66281","completely baffles ","Positive",1
"66282","g connectionservice ","Neutral",1
"66283","support also ","Positive",1
"66284","obvious clue ","Neutral",1
"66285","accountant copies ","Negative",1
"66286","agent promised ","Positive",1
"66287","compatible called ","Positive",1
"66288","stock loan ","Neutral",1
"66289","ever thought ","Neutral",1
"66290","entitled open ","Negative",1
"66291","package sales ","Neutral",1
"66292","threeodd years ","Neutral",1
"66293","easily o ","Neutral",1
"66294","now swapped ","Neutral",1
"66295","business"", 
""fine ","Positive",1
"66296","staff either ","Neutral",1
"66297","internet runs ","Neutral",1
"66298","adviser tell ","Positive",1
"66299","contacted th ","Neutral",1
"66300","evening son ","Neutral",1
"66301","charged around ","Neutral",1
"66302","anywhere email ","Neutral",1
"66303","""absolutely love ","Positive",1
"66304","away run ","Neutral",1
"66305","issue say ","Neutral",1
"66306","use refused ","Negative",1
"66307","place basically ","Neutral",1
"66308","sorry may ","Negative",1
"66309","anticipated buying ","Neutral",1
"66310","times explain ","Neutral",1
"66311","never cheque ","Neutral",1
