"","wordcloud_bigram_th$ngrams","cat_sent_th","wordcloud_bigram_th$freq"
"545","unlimited internet ","Positive",8
"546","security questions ","Neutral",8
"547","renewed contract ","Positive",8
"548","request pac ","Neutral",8
"549","service provide ","Positive",8
"550","year ago ","Neutral",8
"551","minutes texts ","Neutral",8
"552","guy phone ","Neutral",8
"553","data £ ","Neutral",8
"554","working day ","Positive",8
"555","best deal ","Positive",8
"556","long term ","Neutral",8
"557","number new ","Positive",8
"558","phone see ","Neutral",8
"559","phone support ","Positive",8
"560","last days ","Neutral",8
"561","service terrible ","Negative",8
"562","saved lot ","Positive",8
"563","service appalling ","Negative",8
"564","confirmation email ","Neutral",8
"565","even worse ","Negative",8
"566","pmvisitori need ","Neutral",8
"567","insurance company ","Neutral",8
"568","pay money ","Positive",8
"569","later still ","Neutral",8
"570","trading standards ","Neutral",8
"571","technical team ","Neutral",8
"572","home address ","Neutral",8
"573","give £ ","Neutral",8
"574","told want ","Neutral",8
"575","reference number ","Neutral",8
"576","""customer years ","Neutral",8
"577","next time ","Neutral",8
"578","make complaint ","Negative",8
"579","following day ","Neutral",8
"580","number transferred ","Neutral",8
"581","ring customer ","Neutral",8
"582","speak anyone ","Neutral",8
"583","explained situation ","Neutral",8
"584","ever since ","Neutral",8
"585","use wifi ","Neutral",8
"586","phone still ","Neutral",8
"587","never worked ","Positive",8
"588","somewhere else ","Neutral",8
"589","great able ","Positive",8
"590","monthly bill ","Neutral",8
"591","round circles ","Neutral",8
"592","used sim ","Neutral",8
"593","pay direct ","Negative",8
"594","city centre ","Neutral",8
"595","advanced plan ","Positive",8
"596","keep number ","Neutral",8
"597","different network ","Neutral",8
"598","internet connection ","Neutral",8
"599","also asked ","Neutral",8
"600","existing customer ","Neutral",8
"601","amount data ","Neutral",8
"602","passed around ","Neutral",8
"603","got new ","Positive",8
"604","wait days ","Negative",8
"605","kept saying ","Neutral",8
"606","never missed ","Negative",8
"607","make receive ","Neutral",7
"608","
""worst customer ","Negative",7
"609","£ pm ","Neutral",7
"610","means nothing ","Neutral",7
"611","service company ","Neutral",7
"612","back end ","Neutral",7
"613","full amount ","Neutral",7
"614","another minutes ","Neutral",7
"615","phone never ","Neutral",7
"616","access account ","Neutral",7
"617","nearly £ ","Neutral",7
"618","billing address ","Neutral",7
"619","internet slow ","Negative",7
"620","always good ","Positive",7
"621","made clear ","Positive",7
"622","upgraded contract ","Positive",7
"623","one year ","Neutral",7
"624","mobile phones ","Neutral",7
"625","got home ","Neutral",7
"626","service experience ","Neutral",7
"627","card details ","Neutral",7
"628","days contract ","Neutral",7
"629","something wrong ","Negative",7
"630","d party ","Neutral",7
"631","days now ","Neutral",7
"632","come back ","Neutral",7
"633","use services ","Neutral",7
"634","found better ","Positive",7
"635","offer £ ","Positive",7
"636","getting pac ","Neutral",7
"637","used gb ","Neutral",7
"638","small print ","Neutral",7
"639","told refund ","Positive",7
"640","contact number ","Positive",7
"641","phone different ","Neutral",7
"642","uk based ","Neutral",7
"643","wasted hours ","Negative",7
"644","chat told ","Neutral",7
"645","received call ","Positive",7
"646","tracking number ","Neutral",7
"647","hardly understand ","Neutral",7
"648","still pay ","Negative",7
"649","customer experience ","Neutral",7
"650","customer many ","Neutral",7
"651","international calls ","Neutral",7
"652","return phone ","Neutral",7
"653","rather pay ","Negative",7
"654","£ account ","Neutral",7
"655","much data ","Neutral",7
"656","complete joke ","Positive",7
"657","wanted keep ","Neutral",7
"658","""able use ","Neutral",7
"659","refused give ","Negative",7
"660","service call ","Neutral",7
"661","got charged ","Neutral",7
"662","completely useless ","Negative",7
"663","best thing ","Positive",7
"664","late payment ","Negative",7
"665","outside uk ","Neutral",7
"666","first month ","Neutral",7
"667","back phone ","Neutral",7
"668","feels like ","Positive",7
"669","upgrade new ","Positive",7
"670","absolute joke ","Positive",7
"671","upgrade contract ","Neutral",7
"672","phone pay ","Negative",7
"673","now pay ","Negative",7
"674","extremely rude ","Negative",7
"675","rude customer ","Negative",7
"676","new number ","Positive",7
"677","told need ","Neutral",7
"678","care customers ","Positive",7
"679","many many ","Neutral",7
"680","home deal ","Positive",7
"681","cancellation team ","Neutral",7
"682","year old ","Neutral",7
"683","deal £ ","Positive",7
"684","technical issues ","Neutral",7
"685","even use ","Neutral",7
"686","pretty much ","Positive",7
"687","data speeds ","Neutral",7
"688","new deal ","Positive",7
"689","personal details ","Neutral",7
"690","contract new ","Positive",7
"691","want give ","Neutral",7
"692","half time ","Neutral",7
"693","looking new ","Positive",7
"694","felt like ","Positive",7
"695","early upgrade ","Neutral",7
"696","iphone xs ","Neutral",7
"697","decided cancel ","Negative",7
"698","received letter ","Positive",7
"699","pay contract ","Negative",7
"700","isn t ","Neutral",7
"701","try sell ","Neutral",7
"702","credit report ","Positive",7
"703","need use ","Neutral",7
"704","pay bills ","Negative",7
"705","signal strength ","Positive",7
"706","free data ","Positive",7
"707","pac codes ","Neutral",7
"708","contract without ","Neutral",7
"709","via chat ","Neutral",7
"710","data plans ","Neutral",7
"711","give good ","Positive",7
"712","deal offered ","Positive",7
"713","got touch ","Neutral",7
"714","travelling abroad ","Neutral",7
"715","extra charge ","Positive",7
"716","non existent ","Neutral",7
"717","£ pay ","Negative",7
"718","around circles ","Neutral",7
"719","paying extra ","Positive",7
"720","service used ","Neutral",7
"721","home good ","Positive",7
"722","contract due ","Neutral",7
"723","month charged ","Neutral",7
"724","hard sell ","Negative",7
"725","sent back ","Neutral",7
"726","treat customers ","Neutral",7
"727","give money ","Positive",7
"728","told cancel ","Negative",7
"729","""worst network ","Negative",7
"730","end call ","Neutral",7
"731","refund £ ","Positive",7
"732","whole process ","Neutral",7
"733","sent text ","Neutral",7
"734","contract going ","Neutral",7
"735","contract pay ","Negative",7
"736","data used ","Neutral",7
"737","home best ","Positive",7
"738","mobile broadband ","Neutral",7
"739","contract years ","Neutral",7
"740","phone now ","Neutral",7
"741","service even ","Neutral",7
"742","buy add ","Neutral",7
"743","service home ","Neutral",7
"744","t care ","Positive",7
"745","makes sense ","Neutral",7
"746","t want ","Neutral",7
"747","worst experience ","Negative",7
"748","via email ","Neutral",7
"749","phone hour ","Neutral",7
"750","rang back ","Neutral",7
"751","service staff ","Neutral",7
"752","home signal ","Neutral",6
"753","call complaints ","Negative",6
"754","home country ","Neutral",6
"755","understand problem ","Negative",6
"756","local shop ","Neutral",6
"757","connected wifi ","Neutral",6
"758","phone working ","Positive",6
"759","saving £ ","Positive",6
"760","trying resolve ","Positive",6
"761","phone hours ","Neutral",6
"762","got contract ","Neutral",6
"763","£ plus ","Neutral",6
"764","extra money ","Positive",6
"765","never use"", ","Neutral",6
"766","amount time ","Neutral",6
"767","dont know ","Neutral",6
"768","service agents ","Neutral",6
"769","coverage live ","Neutral",6
"770","change plan ","Neutral",6
"771","t help ","Neutral",6
"772","£ going ","Neutral",6
"773","renewing contract ","Neutral",6
"774","unlimited minutes ","Positive",6
"775","time wasted ","Negative",6
"776","wait hours ","Negative",6
"777","got text ","Neutral",6
"778","great signal ","Positive",6
"779","costumer service ","Neutral",6
"780","giff gaff ","Negative",6
"781","great service"", ","Positive",6
"782","iphone s ","Neutral",6
"783","good reception ","Positive",6
"784","worst ever ","Negative",6
"785","buy new ","Positive",6
"786","essential plan ","Positive",6
"787","almost £ ","Neutral",6
