"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"373","reps never ","Neutral",1
"374","end day ","Neutral",1
"375","poor knowledge ","Positive",1
"376","blah connecting ","Negative",1
"377","insisted wanted ","Neutral",1
"378","awarded £ ","Positive",1
"379","service"", 
""using ","Neutral",1
"380","minutes called ","Neutral",1
"381","expected better ","Positive",1
"382","course trying ","Neutral",1
"383","service screen ","Neutral",1
"384","go communications ","Neutral",1
"385","spot generally ","Neutral",1
"386","attend anger ","Negative",1
"387","netwrok effectively ","Positive",1
"388","repairing even ","Neutral",1
"389","must pay ","Negative",1
"390","bought damn ","Negative",1
"391","surprise call ","Positive",1
"392","abdul listened ","Neutral",1
"393","new one ","Positive",1
"394","getting sim ","Neutral",1
"395","months charge ","Neutral",1
"396","dollar well ","Positive",1
"397","ago iphone ","Neutral",1
"398","recipe invoice ","Neutral",1
"399","managers position ","Neutral",1
"400","disfunctional main ","Positive",1
"401","nearly weeks ","Neutral",1
"402","able change ","Neutral",1
"403","put agents ","Neutral",1
"404","village miles ","Neutral",1
"405","disgusting sly ","Negative",1
"406","came along ","Neutral",1
"407","getting network ","Neutral",1
"408","settings updated ","Neutral",1
"409","insist right ","Positive",1
"410","possible give ","Neutral",1
"411","problem time ","Negative",1
"412","month later ","Neutral",1
"413","days days ","Neutral",1
"414","handset one ","Neutral",1
"415","two payments ","Neutral",1
"416","go back ","Neutral",1
"417","signed states ","Neutral",1
"418","order make ","Neutral",1
"419","day nd ","Neutral",1
"420","main business ","Positive",1
"421","points writing ","Neutral",1
"422","phone much ","Neutral",1
"423","unused part ","Neutral",1
"424","one since ","Neutral",1
"425","give mobile ","Neutral",1
"426","ensure protect ","Positive",1
"427","protect customers ","Positive",1
"428","speak weeks ","Neutral",1
"429","updated settings ","Neutral",1
"430","worse g ","Negative",1
"431","equipment obtain ","Neutral",1
"432","dropped sink ","Negative",1
"433","pay new ","Positive",1
"434","problem monthly ","Negative",1
"435","thought right ","Positive",1
"436","services emergency ","Negative",1
"437","use electronic ","Neutral",1
"438","absolute scam ","Negative",1
"439","internet hopeless ","Negative",1
"440","""never issues ","Neutral",1
"441","still got ","Neutral",1
"442","manager s ","Neutral",1
"443","bad day ","Negative",1
"444","directly every ","Neutral",1
"445","voicemail s ","Neutral",1
"446","ago started ","Neutral",1
"447","shown various ","Neutral",1
"448","website anticonsumer ","Neutral",1
"449","useless th ","Negative",1
"450","service legend ","Neutral",1
"451","credit card ","Positive",1
"452","service receive ","Neutral",1
"453","piggy back ","Neutral",1
"454","part empire ","Neutral",1
"455","month wether ","Neutral",1
"456","codes none ","Neutral",1
"457","data still ","Neutral",1
"458","phone trying ","Neutral",1
"459","rate £ ","Neutral",1
"460","good phone ","Positive",1
"461","quick efficient ","Positive",1
"462","capable listening ","Positive",1
"463","thought outrageous ","Negative",1
"464","sadly terminate ","Negative",1
"465","thing happened ","Neutral",1
"466","days absolutely ","Neutral",1
"467","well"", ""otherwise ","Positive",1
"468","explained points ","Neutral",1
"469","make effort ","Neutral",1
"470","also use ","Neutral",1
"471","nothing heard ","Neutral",1
"472","home main ","Positive",1
"473","value plan ","Neutral",1
"474","ombudsman found ","Positive",1
"475","couple questions ","Neutral",1
"476","revenge way ","Negative",1
"477","look others ","Neutral",1
"478","part months ","Neutral",1
"479","previous supplier ","Neutral",1
"480","situation remedied ","Neutral",1
"481","manifestation severe ","Negative",1
"482","spoke manager ","Neutral",1
"483","home mainly ","Neutral",1
"484","return ordered ","Neutral",1
"485","standards providing ","Positive",1
"486","trying understand ","Neutral",1
"487","deal guided ","Positive",1
"488","service happier ","Positive",1
"489","aware one ","Neutral",1
"490","constantly started ","Neutral",1
"491","ask manager ","Neutral",1
"492","surrealistic since ","Neutral",1
"493","ask tell ","Neutral",1
"494","hold cancellation ","Neutral",1
"495","month sent ","Neutral",1
"496","bog"", 
""mob ","Negative",1
"497","reviewed mobile ","Neutral",1
"498","garbled voicemail ","Neutral",1
"499","say call ","Neutral",1
"500","access bank ","Neutral",1
"501","back lane ","Neutral",1
"502","help came ","Neutral",1
"503","promised put ","Positive",1
"504","unlocking codes ","Neutral",1
"505","hopeless even ","Negative",1
"506","coat blanket ","Neutral",1
"507","bang flawless ","Positive",1
"508","later say ","Neutral",1
"509","serious psychological ","Neutral",1
"510","first set ","Neutral",1
"511","though realise ","Neutral",1
"512","mobile shops ","Neutral",1
"513","per mb ","Neutral",1
"514","give businessmoney ","Neutral",1
"515","weeks continue ","Positive",1
"516","compared mobile ","Neutral",1
"517","asked thought ","Neutral",1
"518","told abdul ","Neutral",1
"519","message coming ","Neutral",1
"520","deal ceo ","Positive",1
"521","precious fix ","Positive",1
"522","anywhere near ","Neutral",1
"523","expired resulted ","Negative",1
"524","make calls ","Neutral",1
"525","asked make ","Neutral",1
"526","experiencing even ","Neutral",1
"527","went store ","Neutral",1
"528","signatures three ","Neutral",1
"529","payments received ","Positive",1
"530","booster nearby ","Neutral",1
"531","services recounting ","Neutral",1
"532","trying sell ","Neutral",1
"533","much longer ","Neutral",1
"534","troubles one ","Negative",1
"535","texts voicemail ","Neutral",1
"536","shopping shop ","Positive",1
"537","fees grounds ","Neutral",1
"538","different company ","Neutral",1
"539","point contract ","Neutral",1
"540","grounds believe ","Neutral",1
"541","support page ","Positive",1
"542","compensation allow ","Positive",1
"543","despite broken ","Negative",1
"544","previous contract ","Neutral",1
"545","going regular ","Neutral",1
"546","taking two ","Neutral",1
"547","several customer ","Neutral",1
"548","response imagine ","Neutral",1
"549","story confirmed ","Positive",1
"550","continued taking ","Neutral",1
"551","handed arrogant ","Negative",1
"552","therefore giving ","Positive",1
"553","e stank ","Neutral",1
"554","said computer ","Neutral",1
"555","card want ","Neutral",1
"556","blame contacted ","Negative",1
