"","wordcloud_bigram_vo$ngrams","cat_sent_vo","wordcloud_bigram_vo$freq"
"628","zero star ","Positive",8
"629","really care ","Positive",8
"630","got call ","Neutral",8
"631","£ now ","Neutral",8
"632","told d ","Neutral",8
"633","said phone ","Neutral",8
"634","phone trying ","Neutral",8
"635","pac number ","Neutral",8
"636","past years ","Neutral",8
"637","offer £ ","Positive",8
"638","ever encountered ","Neutral",8
"639","company worst ","Negative",8
"640","bill every ","Neutral",8
"641","service provided ","Neutral",8
"642","stay well ","Positive",8
"643","broken promises ","Negative",8
"644","receive calls ","Neutral",8
"645","small print ","Neutral",8
"646","cancellation fee ","Negative",8
"647","month bill ","Neutral",8
"648","takes days ","Neutral",8
"649","joke company ","Positive",8
"650","call told ","Neutral",8
"651","explain situation ","Neutral",8
"652","within minutes ","Neutral",8
"653","make money ","Positive",8
"654","anything else ","Neutral",8
"655","th august ","Neutral",8
"656","give back ","Neutral",8
"657","customer many ","Neutral",8
"658","big company ","Positive",8
"659","shocking service ","Negative",8
"660","send back ","Neutral",8
"661","bt openreach ","Neutral",8
"662","information provided ","Positive",8
"663","following month ","Neutral",8
"664","still charged ","Neutral",8
"665","""customer service ","Neutral",8
"666","sent email ","Neutral",8
"667","month month ","Neutral",8
"668","phoned customer ","Neutral",8
"669","calls made ","Neutral",8
"670","refused refund ","Positive",8
"671","single month ","Neutral",8
"672","phone account ","Neutral",8
"673","g g ","Neutral",8
"674","port number ","Neutral",8
"675","back shop ","Neutral",8
"676","days call ","Neutral",8
"677","manager told ","Neutral",8
"678","person spoke ","Neutral",8
"679","go company ","Neutral",8
"680","phone work ","Positive",8
"681","without consent ","Positive",8
"682","store phone ","Neutral",8
"683","contract said ","Neutral",8
"684","£ contract ","Neutral",8
"685","day one ","Neutral",8
"686","price plan ","Neutral",8
"687","heard nothing ","Neutral",8
"688","went shop ","Neutral",8
"689","numerous calls ","Neutral",8
"690","close account ","Neutral",8
"691","minutes told ","Neutral",8
"692","pretty much ","Positive",8
"693","never used ","Neutral",8
"694","without doubt ","Negative",8
"695","advisor said ","Neutral",8
"696","ago still ","Neutral",8
"697","every year ","Neutral",8
"698","placed order ","Neutral",8
"699","now days ","Neutral",8
"700","t take ","Neutral",8
"701","spend money ","Positive",8
"702","many hours ","Neutral",8
"703","service appalling ","Negative",8
"704","months left ","Neutral",8
"705","
""give stars ","Neutral",8
"706","great deal ","Positive",8
"707","members staff ","Neutral",8
"708","service department ","Neutral",8
"709","one phone ","Neutral",8
"710","data charges ","Neutral",8
"711","data use ","Neutral",8
"712","home address ","Neutral",8
"713","still haven ","Positive",8
"714","much money ","Positive",8
"715","free data ","Positive",8
"716","time called ","Neutral",8
"717","still getting ","Neutral",8
"718","service number ","Neutral",8
"719","couple months ","Neutral",8
"720","told worry ","Negative",8
"721","day period ","Neutral",8
"722","keep charging ","Neutral",8
"723","owed £ ","Neutral",8
"724","please please ","Positive",8
"725","time spent ","Negative",8
"726","phone wanted ","Neutral",8
"727","also said ","Neutral",8
"728","bank statement ","Neutral",8
"729","go near ","Neutral",8
"730","take hours ","Neutral",8
"731","email confirming ","Neutral",8
"732","service first ","Neutral",8
"733","day work ","Positive",8
"734","contract want ","Neutral",8
"735","data roaming ","Neutral",8
"736","able make ","Neutral",8
"737","say phone ","Neutral",8
"738","half day ","Neutral",8
"739","company even ","Neutral",8
"740","service rubbish ","Negative",8
"741","also took ","Neutral",8
"742","order placed ","Neutral",8
"743","next week ","Neutral",8
"744","charging £ ","Neutral",8
"745","without internet ","Neutral",8
"746","hold hour ","Neutral",8
"747","took phone ","Neutral",8
"748","centre staff ","Neutral",8
"749","contract company ","Neutral",8
"750","account still ","Neutral",8
"751","via email ","Neutral",8
"752","£ due ","Neutral",8
"753","three months ","Neutral",8
"754","spend hours ","Neutral",8
"755","g data ","Neutral",8
"756","connected wifi ","Neutral",7
"757","t speak ","Neutral",7
"758","t recommend ","Positive",7
"759","use mobile ","Neutral",7
"760","phone days ","Neutral",7
"761","service years ","Neutral",7
"762","another sim ","Neutral",7
"763","value money ","Positive",7
"764","time got ","Neutral",7
"765","told needed ","Neutral",7
"766","pay phone ","Negative",7
"767","call say ","Neutral",7
"768","anyone thinking ","Neutral",7
"769","ever misfortune ","Negative",7
"770","ever recommend ","Positive",7
"771","spotify premium ","Neutral",7
"772","letter debt ","Negative",7
"773","please don ","Positive",7
"774","phoned back ","Neutral",7
"775","call one ","Neutral",7
"776","service shocking ","Negative",7
"777","nick jeffery ","Neutral",7
"778","several occasions ","Neutral",7
"779","months now ","Neutral",7
"780","phone signal ","Neutral",7
"781","years time ","Neutral",7
"782","buy new ","Positive",7
"783","seem care ","Positive",7
"784","tried call ","Neutral",7
"785","phone one ","Neutral",7
"786","seems like ","Positive",7
"787","hours time ","Neutral",7
"788","conflicting information ","Negative",7
"789","surprise surprise ","Positive",7
"790","trust pilot ","Positive",7
"791","great customer ","Positive",7
"792","new plan ","Positive",7
"793","time time ","Neutral",7
"794","contract sim ","Neutral",7
"795","coming end ","Neutral",7
"796","cut phone ","Negative",7
"797","number phone ","Neutral",7
"798","credited account ","Positive",7
"799","pay whole ","Negative",7
"800","absolutely appalling ","Negative",7
"801","time need ","Neutral",7
"802","one customer ","Neutral",7
"803","hours hold ","Neutral",7
"804","back call ","Neutral",7
"805","spoke manager ","Neutral",7
"806","saying owe ","Neutral",7
"807","service centre ","Neutral",7
"808","tried contact ","Positive",7
"809","guy called ","Neutral",7
"810","new address ","Positive",7
"811","different company ","Neutral",7
"812","days told ","Neutral",7
"813","solve problem ","Positive",7
"814","network customer ","Neutral",7
"815","first bill ","Neutral",7
"816","manager said ","Neutral",7
"817","need phone ","Neutral",7
"818","rd party ","Neutral",7
"819","without broadband ","Neutral",7
"820","worst companies ","Negative",7
"821","broadband company ","Neutral",7
"822","numerous occasions ","Neutral",7
"823","give star ","Positive",7
"824","service rude ","Negative",7
"825","wrong phone ","Negative",7
"826","without telling ","Neutral",7
"827","month sim ","Neutral",7
"828","now still ","Neutral",7
"829","contract however ","Neutral",7
"830","ve ever ","Neutral",7
"831","miss sold ","Neutral",7
"832","dont even ","Neutral",7
"833","never issue ","Neutral",7
"834","try sort ","Neutral",7
"835","since last ","Neutral",7
"836","post paid ","Neutral",7
"837","return phone ","Neutral",7
"838","managed cancel ","Negative",7
"839","telephone number ","Neutral",7
"840","need go ","Neutral",7
"841","asked cancel ","Negative",7
"842","hours life ","Neutral",7
"843","old contract ","Neutral",7
"844","star review ","Positive",7
"845","trying find ","Neutral",7
"846","like plague ","Neutral",7
"847","yet still ","Neutral",7
"848","secure net ","Positive",7
"849","debt collector ","Negative",7
"850","promised phone ","Positive",7
"851","worst network ","Negative",7
"852","back later ","Neutral",7
"853","months time ","Neutral",7
"854","router delivered ","Neutral",7
"855","brand new ","Positive",7
"856","hour minutes ","Neutral",7
"857","made sure ","Neutral",7
"858","bill month ","Neutral",7
"859","closed account ","Neutral",7
"860","completely different ","Positive",7
"861","weeks now ","Neutral",7
"862","cancelled phone ","Negative",7
"863","tech team ","Neutral",7
"864","extremely poor ","Negative",7
"865","phone arrived ","Neutral",7
"866","give zero ","Neutral",7
"867","really good ","Positive",7
"868","service also ","Neutral",7
"869","now th ","Neutral",7
"870","times now ","Neutral",7
"871","told sorry ","Negative",7
"872","using services ","Neutral",7
"873","support team ","Positive",7
"874","take court ","Neutral",7
"875","service provide ","Positive",7
"876","new number ","Positive",7
"877","cancellation team ","Neutral",7
"878","minutes texts ","Neutral",7
"879","twitter facebook ","Neutral",7
"880","signed contract ","Neutral",7
"881","saying sorry ","Negative",7
"882","now wait ","Negative",7
"883","even use ","Neutral",7
"884","set direct ","Neutral",7
"885","speak english ","Neutral",7
"886","month also ","Neutral",7
"887","company costs ","Neutral",7
"888","pay full ","Negative",7
"889","nothing pay ","Negative",7
"890","engineer appointment ","Neutral",7
"891","back hours ","Neutral",7
"892","goes wrong ","Negative",7
"893","overseas call ","Neutral",7
"894","now want ","Neutral",7
"895","month now ","Neutral",7
"896","months line ","Neutral",7
"897","without knowledge ","Positive",7
"898","confirmation email ","Neutral",7
"899","problem never ","Negative",7
"900","credit report ","Positive",7
"901","resolve problem ","Positive",7
"902","nuc code ","Neutral",7
"903","roaming charges ","Neutral",7
"904","contract runs ","Neutral",7
"905","bad company ","Negative",7
"906","receive refund ","Positive",7
"907","really disappointed ","Negative",7
"908","told want ","Neutral",7
"909","even know ","Neutral",7
"910","lost live ","Negative",7
"911","phone companies ","Neutral",7
"912","texts calls ","Neutral",7
"913","""customer years ","Neutral",7
"914","keep getting ","Neutral",7
"915","phone fixed ","Neutral",7
"916","months still ","Neutral",7
"917","said give ","Neutral",7
"918","said take ","Neutral",7
"919","phone got ","Neutral",7
"920","month ago ","Neutral",7
"921","account holder ","Neutral",7
"922","phone bills ","Neutral",7
