Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
45, years issue cell reception connectivity however phone support terrible deciding upgrade new phone shopped around best deals phoned see offer must minutes phone told offer better current price website asked pac code changed subject started offering different packages none previously wanted going round circles another minutes asked one pac code told rush think phoned back second time wasted even time avoiding giving pac code saying try beat competitors price ultimately offering completely different handset loved stayed company phone support nonexistent prices offered actually worse ones website ,2,2,2,3,0,2,0,1,4,4,1,Positive,23-Oct-18,Tuesday,Oct-18,0.1,0.7,-1.05,1.35,-0.6,0.3,1.3,-1.9,-1.2,-0.5,-1.75,2.9,1.5,-1.2,4.25,-0.45,1.65,1.3,
46, took contract new iphone x online agreed delivery date phone left neighbour new date arranged took day work phone arrive call explanation provided subsequently cancelled order went store phone took arrive fine collected fine good customer service cannon st store team manager subsequent visit however billed since original contract date higher rate lower data package calling customer services phone ball breakingly painful shored knows level understanding shambolic now dispute less data provided overcharging contract days delivery charge phone receive s position correct charge higher rate two weeks phone dealing waste time doubt take resolve situation now purchase additional data month single reason use use data usa minute stop another company advice avoid unless usp requirements overall star rating lie ,5,6,3,5,2,5,1,8,9,10,2.7,Positive,23-Oct-18,Tuesday,Oct-18,1.4,2.6,3.75,3.3,0.5,4.75,-2,-1.7,11.4,-1.05,7,-0.85,-1.65,-1.6,2.4,-2.55,0.65,-1.9,
47, happy contract since always charged signed contract call store go someone explain contract case misunderstand something help saying call robot speaking mention made cost calls text using phone yet store idea experience cancel contract ,0,3,0,1,1,2,0,3,4,3,-0.75,Negative,23-Oct-18,Tuesday,Oct-18,1.3,0.8,3.65,-0.5,3.2,0.4,1.8,0.25,0.85,-1.55,1.7,2.85,-0.95,-4.55,5.45,3.65,1.15,-0.35,
48, dont even deserve star rang upgrade phone years upgraded expensive phone changed delivery address moved house confirmed times next day got phone notification delivery slot old house unpleasant man now lives rang resolve issue fault however rude every time asked going fault put phone put phone total times even politely repeating please put phone bottom dad rang threatened cancel contracts solve issue magically now power change delivery address dad said still cancel contract unless rang apologised never cancelled contract cant wait rid discriminatory towards females rude customer support never known support put phone allow speak manager sort awful staff now lost thousands pounds year due rude incompetent staff ,3,6,2,2,1,7,0,3,8,5,-0.25,Negative,23-Oct-18,Tuesday,Oct-18,3.25,-0.25,2.1,0.4,-3.8,1.75,0.85,7.3,0,-0.75,2.05,-1.1,-0.5,0.55,-1.2,-1.6,-0.65,-1.75,
49, terrible terrible rude aggressive staff unhelpful uncaring woman yesterday nd oct shouting verbally arrgessive abusive phone considerly told reason couldnt pay bill consently demanded payment felt bullied intimidated phone woman staff shouting force hung phone burst tears told pay phone bill services cut think disgusting woman allowed speak away im now getting texts also demanding pay im paying phone bill installments woman wanted pay bill full £ phone bill now gone £ last hours contract ends im leaving ,5,1,3,4,1,2,0,1,7,3,-8.4,Negative,23-Oct-18,Tuesday,Oct-18,1,6.6,5.1,0.5,8,-0.35,0.8,-2.75,-3.3,2.05,5.4,-0.55,0.7,0.95,0.6,-1,0,2.35,
50, upgraded last tuesday even though website claims next day delivery mine supposed friday th days later took friday work home delivery waited whole day one contacted phone late show checked account delivery still supposed th phone come yesterday either phoned told phone come th repeatedly told supposed th come account still states th told says th nothing sorry delay lady phone care less inquiry even pretend helpful honestly sounded like coulnd care less appaling customer service claims next day delivery lies course still pay £ fantastic service ,1,3,1,1,2,2,0,4,3,5,1.3,Positive,23-Oct-18,Tuesday,Oct-18,-5.3,3.5,1.4,-1.95,1.55,1.6,1.65,3.3,-0.65,7.8,1.5,-0.85,5.05,-0.75,-1.3,-2.25,-2.5,-1,
51, never experienced bad customer service years gave number company called comedy calls admitted fault throughout first phone call however spoke told lying said please phone records state recorded almost doubled contract price however comedy calls able use america live britain new number days started charged stated cancel direct debit refused pay amount extra totalling £ now adding extra £ onto bill month trying customer service joke rude arrogant listen anything trying explain simply called liar told need  listen tjem  however going listen every single advisor tells something different also asked blockage added want exceed bill also hasn t done also cancelled insurance last year without informing bill missed used praise however since years going getting worse worse  ve tried emailing complaints however nothing comes back also taking additional money parents bank even payment month even come another reason allow direct debit due taking additional money go ,4,4,4,2,4,5,1,7,12,9,-1.9,Negative,22-Oct-18,Monday,Oct-18,1,-1.65,2.1,2.6,-0.75,-0.8,2.85,-6.55,1.85,0.7,-1.5,-1.75,-0.2,-4.05,1.7,-2.85,-1.55,-3.85,
52, years never questioned bill till now increase monthly payments £ inflationfair enough tell much increase call charges example january international call charged £ per minute august charged £ per minute explained increase inflation understand increase inflation according customer service careful people company ripoff ,0,0,0,1,0,0,0,0,1,4,-0.35,Negative,22-Oct-18,Monday,Oct-18,1.8,9.6,1.75,-3.9,2.05,-1.5,0.15,3.3,2.4,-0.35,-1.5,2.4,-0.55,7.8,-1,-0.75,-1.95,-0.5,
53, went henry street two months ago  m moving back states wanted know cancellation period said cancel anytime  s incorrect  s thirty day cancelation period asked made aware bad support bad customer service ,1,0,1,1,0,2,0,0,3,1,-1.75,Negative,22-Oct-18,Monday,Oct-18,-2.7,-2.1,0.5,1.25,3.1,3,1.05,-3.9,3.1,2.4,-0.9,-1.55,1.2,0.25,-3.5,-5.6,1.4,0,
54, scared join years ago now love although never upgrade always better deal top cashback ,0,2,0,0,2,0,1,2,0,4,2.35,Positive,21-Oct-18,Sunday,Oct-18,3.1,1.65,3.3,2.9,0.8,1.75,0.7,0.35,6.25,3.7,-2,0,-0.4,0.95,1.2,-0.45,-1.25,-1.9,
